fecha,producto,cantidad,precio
2026-09-01,Laptop,2,850.00
2026-09-01,Mouse,10,15.50
2026-09-02,Teclado,5,35.00
2026-09-02,Monitor,3,220.00
2026-09-03,Mouse,8,15.50
2026-09-03,Auriculares,6,45.00
2026-09-04,Laptop,1,850.00
2026-09-04,Teclado,4,35.00
2026-09-05,Monitor,2,220.00
2026-09-05,Mouse,12,15.50
2026-09-06,Auriculares,3,45.00
2026-09-06,Webcam,4,60.00
2026-09-07,Laptop,3,850.00
2026-09-07,Teclado,6,35.00
2026-09-08,Webcam,2,60.00
2026-09-08,Mouse,7,15.50
2026-09-09,Monitor,1,220.00
2026-09-09,Auriculares,5,45.00
2026-09-10,Laptop,2,850.00
2026-09-10,Webcam,3,60.00
